Tense	VerbForm	Aspect	Voice	Mood	Person	Number	label
Past		Imp	Act	Ind	1	Sing	Παρατ. ενεργ. α' εν.
Past		Imp	Act	Ind	1	Plur	Παρατ. ενεργ. α' πλ.
Past		Imp	Act	Ind	2	Sing	Παρατ. ενεργ. β' εν.
Past		Imp	Act	Ind	2	Plur	Παρατ. ενεργ. β' πλ.
Past		Imp	Act	Ind	3	Sing	Παρατ. ενεργ. γ' εν.
Past		Imp	Act	Ind	3	Plur	Παρατ. ενεργ. γ' πλ.
Past		Imp	Pass	Ind	1	Sing	Παρατ. παθ. α' εν.
Past		Imp	Pass	Ind	1	Plur	Παρατ. παθ. α' πλ.
Past		Imp	Pass	Ind	2	Sing	Παρατ. παθ. β' εν.
Past		Imp	Pass	Ind	2	Plur	Παρατ. παθ. β' πλ.
Past		Imp	Pass	Ind	3	Sing	Παρατ. παθ. γ' εν.
Past		Imp	Pass	Ind	3	Plur	Παρατ. παθ. γ' πλ.
Past		Perf	Act	Ind	1	Sing	Αόρ. ενεργ. α' εν.
Past		Perf	Act	Ind	1	Plur	Αόρ. ενεργ. α' πλ.
Past		Perf	Act	Ind	2	Sing	Αόρ. ενεργ. β' εν.
Past		Perf	Act	Ind	2	Plur	Αόρ. ενεργ. β' πλ.
Past		Perf	Act	Ind	3	Sing	Αόρ. ενεργ. γ' εν.
Past		Perf	Act	Ind	3	Plur	Αόρ. ενεργ. γ' πλ.
Past		Perf	Pass	Ind	1	Sing	Αόρ. παθ. α' εν.
Past		Perf	Pass	Ind	1	Plur	Αόρ. παθ. α' πλ.
Past		Perf	Pass	Ind	2	Sing	Αόρ. παθ. β' εν.
Past		Perf	Pass	Ind	2	Plur	Αόρ. παθ. β' πλ.
Past		Perf	Pass	Ind	3	Sing	Αόρ. παθ. γ' εν.
Past		Perf	Pass	Ind	3	Plur	Αόρ. παθ. γ' πλ.
Fut		Imp	Act	Ind	1	Sing	Μέλλ. εξακ. ενεργ. α' εν.
Fut		Imp	Act	Ind	1	Plur	Μέλλ. εξακ. ενεργ. α' πλ.
Fut		Imp	Act	Ind	2	Sing	Μέλλ. εξακ. ενεργ. β' εν.
Fut		Imp	Act	Ind	2	Plur	Μέλλ. εξακ. ενεργ. β' πλ.
Fut		Imp	Act	Ind	3	Sing	Μέλλ. εξακ. ενεργ. γ' εν.
Fut		Imp	Act	Ind	3	Plur	Μέλλ. εξακ. ενεργ. γ' πλ.
Fut		Imp	Pass	Ind	1	Sing	Μέλλ. εξακ. παθ. α' εν.
Fut		Imp	Pass	Ind	1	Plur	Μέλλ. εξακ. παθ. α' πλ.
Fut		Imp	Pass	Ind	2	Sing	Μέλλ. εξακ. παθ. β' εν.
Fut		Imp	Pass	Ind	2	Plur	Μέλλ. εξακ. παθ. β' πλ.
Fut		Imp	Pass	Ind	3	Sing	Μέλλ. εξακ. παθ. γ' εν.
Fut		Imp	Pass	Ind	3	Plur	Μέλλ. εξακ. παθ. γ' πλ.
Fut		Perf	Act	Ind	1	Sing	Μέλλ. συνοπτ. ενεργ. α' εν.
Fut		Perf	Act	Ind	1	Plur	Μέλλ. συνοπτ. ενεργ. α' πλ.
Fut		Perf	Act	Ind	2	Sing	Μέλλ. συνοπτ. ενεργ. β' εν.
Fut		Perf	Act	Ind	2	Plur	Μέλλ. συνοπτ. ενεργ. β' πλ.
Fut		Perf	Act	Ind	3	Sing	Μέλλ. συνοπτ. ενεργ. γ' εν.
Fut		Perf	Act	Ind	3	Plur	Μέλλ. συνοπτ. ενεργ. γ' πλ.
Fut		Perf	Pass	Ind	1	Sing	Μέλλ. συνοπτ. παθ. α' εν.
Fut		Perf	Pass	Ind	1	Plur	Μέλλ. συνοπτ. παθ. α' πλ.
Fut		Perf	Pass	Ind	2	Sing	Μέλλ. συνοπτ. παθ. β' εν.
Fut		Perf	Pass	Ind	2	Plur	Μέλλ. συνοπτ. παθ. β' πλ.
Fut		Perf	Pass	Ind	3	Sing	Μέλλ. συνοπτ. παθ. γ' εν.
Fut		Perf	Pass	Ind	3	Plur	Μέλλ. συνοπτ. παθ. γ' πλ.
		Perf	Act	Sub	1	Sing	Υποτ. ενεργ. α' εν.
		Perf	Act	Sub	1	Plur	Υποτ. ενεργ. α' πλ.
		Perf	Act	Sub	2	Sing	Υποτ. ενεργ. β' εν.
		Perf	Act	Sub	2	Plur	Υποτ. ενεργ. β' πλ.
		Perf	Act	Sub	3	Sing	Υποτ. ενεργ. γ' εν.
		Perf	Act	Sub	3	Plur	Υποτ. ενεργ. γ' πλ.
		Perf	Pass	Sub	1	Sing	Υποτ. παθ. α' εν.
		Perf	Pass	Sub	1	Plur	Υποτ. παθ. α' πλ.
		Perf	Pass	Sub	2	Sing	Υποτ. παθ. β' εν.
		Perf	Pass	Sub	2	Plur	Υποτ. παθ. β' πλ.
		Perf	Pass	Sub	3	Sing	Υποτ. παθ. γ' εν.
		Perf	Pass	Sub	3	Plur	Υποτ. παθ. γ' πλ.
		Imp	Act	Imp	2	Sing	Προστ. εξακ. ενεργ. β' εν.
		Imp	Act	Imp	2	Plur	Προστ. εξακ. ενεργ. β' πλ.
		Imp	Pass	Imp	2	Sing	Προστ. εξακ. παθ. β' εν.
		Imp	Pass	Imp	2	Plur	Προστ. εξακ. παθ. β' πλ.
		Perf	Act	Imp	2	Sing	Προστ. συνοπτ. ενεργ. β' εν.
		Perf	Act	Imp	2	Plur	Προστ. συνοπτ. ενεργ. β' πλ.
		Perf	Pass	Imp	2	Sing	Προστ. συνοπτ. παθ. β' εν.
		Perf	Pass	Imp	2	Plur	Προστ. συνοπτ. παθ. β' πλ.
